source,architecture,prompt_level,n_conversations,CED,min_distance,max_distance,mean_nn_distance,min_nn_distance,topic,condition
LLM,C3,P0,3,0.02634360426956554,0.02066799910028172,0.030420189306304746,0.0684945522133558,0.06608225529854928,Recycling,C3-P0
LLM,C3,P1,3,0.026930576144213198,0.020708398495484448,0.0363980342831397,0.06443673967904984,0.052066362425578605,Recycling,C3-P1
LLM,C3,P2,3,0.06555517645631177,0.05095390424880042,0.09344160804832169,0.15051689274888772,0.11204431268383153,Recycling,C3-P2
LLM,C4,P0,3,0.03899299046129231,0.023549729353125493,0.05745178142938667,0.08211818174317242,0.06148120890236031,Recycling,C4-P0
LLM,C4,P1,3,0.03309820812674017,0.019296457115143606,0.042647735052454894,0.07507299482830214,0.06995102322037261,Recycling,C4-P1
LLM,C4,P2,3,0.030001118909211828,0.02408641202868822,0.033125882009517715,0.07988498025687048,0.07956020589101742,Recycling,C4-P2
SB,SB,SB,2,0.09630094418348112,0.09630094418348101,0.09630094418348123,0.3666560330326648,0.3666560330326648,TAXES,SB
SB,SB,SB,6,0.09773315106962578,0.05010863321272996,0.25295468520318154,0.13207642272924283,0.0785233889289616,TRIAL BY JURY,SB
LLM,C1,P0,2,0.06582615347369514,0.06582615347369503,0.06582615347369525,0.2546384489324953,0.2546384489324953,Taxes,C1-P0
LLM,C2,P0,2,0.05230207817929289,0.05230207817929289,0.05230207817929289,0.20373729795342566,0.20373729795342566,Taxes,C2-P0
LLM,C2,P1,2,0.11376675611472092,0.11376675611472087,0.11376675611472098,0.4291812748651518,0.4291812748651518,Taxes,C2-P1
LLM,C2,P2,2,0.06360815382637797,0.06360815382637797,0.06360815382637797,0.246340620839111,0.246340620839111,Taxes,C2-P2
LLM,C3,P0,2,0.05932944631839887,0.05932944631839887,0.05932944631839887,0.2302778188726995,0.2302778188726995,Taxes,C3-P0
LLM,C3,P1,2,0.03898582971682624,0.03898582971682618,0.03898582971682629,0.15290352902988658,0.15290352902988658,Taxes,C3-P1
LLM,C3,P2,2,0.06004474704091961,0.060044747040919444,0.06004474704091978,0.23296824486926282,0.23296824486926282,Taxes,C3-P2
LLM,C4,P0,2,0.1749091566048686,0.1749091566048686,0.1749091566048686,0.6384502002910218,0.6384502002910218,Taxes,C4-P0
LLM,C4,P1,2,0.04264563287519868,0.042645632875198625,0.042645632875198736,0.16694523149414198,0.16694523149414198,Taxes,C4-P1
LLM,C4,P2,2,0.05590095764535935,0.055900957645359295,0.055900957645359406,0.21735399645010056,0.21735399645010056,Taxes,C4-P2
LLM,C1,P0,6,0.08185342707417943,0.05004443989640095,0.10271472537453663,0.13689725333312192,0.0900096814798036,Trial By Jury,C1-P0
LLM,C1,P1,4,0.06400246583789895,0.03560775938507432,0.09853388970287347,0.11848642426320263,0.0846207337753464,Trial By Jury,C1-P1
LLM,C2,P0,6,0.042516376364550114,0.031365654963252054,0.06852320381711607,0.07367791567378408,0.06619020128837161,Trial By Jury,C2-P0
LLM,C2,P1,6,0.07622468894409885,0.0570536736105397,0.11829445768513969,0.10488000522198371,0.05746700314863684,Trial By Jury,C2-P1
LLM,C2,P2,6,0.06800952325818523,0.044680151797282686,0.11690596986015556,0.1167919395097038,0.09279353975936999,Trial By Jury,C2-P2
LLM,C3,P0,6,0.05868719760141624,0.03128785404185297,0.09758823202278066,0.09299267351746031,0.07079673319700297,Trial By Jury,C3-P0
LLM,C3,P1,6,0.05059256493906206,0.04097846269582117,0.07173327122800499,0.08906891055560985,0.07709148482578299,Trial By Jury,C3-P1
LLM,C3,P2,6,0.05312327086587715,0.03151675953250066,0.06677918333144894,0.09716892062690026,0.08521898149189089,Trial By Jury,C3-P2
LLM,C4,P0,6,0.061257146822734664,0.03741993529891341,0.10766812826921701,0.10324865312275024,0.09034508211272885,Trial By Jury,C4-P0
LLM,C4,P1,6,0.04988198597451149,0.029683099525851353,0.06106158183142074,0.0844707621874324,0.07117616968674878,Trial By Jury,C4-P1
LLM,C4,P2,6,0.09041079155119837,0.0432237331330273,0.23074313810764246,0.12155345315463183,0.07617032393604795,Trial By Jury,C4-P2
